"","review_id","stars","text","cool","useful","funny","scores","review_type","Predicted_Stars"
"6","m2CKSsepBCoRYWxiRUsxAg","4","Quiessence is, simply put, beautiful.  Full windows and earthy wooden walls give a feeling of warmth inside this restaurant perched in the middle of a farm.  The restaurant seemed fairly full even on a Tuesday evening; we had secured reservations just a couple days before.

My friend and I had sampled sandwiches at the Farm Kitchen earlier that week, and were impressed enough to want to eat at the restaurant.  The crisp, fresh veggies didn't disappoint: we ordered the salad with orange and grapefruit slices and the crudites to start.  Both were very good; I didn't even know how much I liked raw radishes and turnips until I tried them with their pesto and aioli sauces.

For entrees, I ordered the lamb and my friend ordered the pork shoulder.  Service started out very good, but trailed off quickly.  Waiting for our food took a very long time (a couple seated after us received and finished their entrees before we received our's), and no one bothered to explain the situation until the maitre'd apologized almost 45 minutes later.  Apparently the chef was unhappy with the sauce on my entree, so he started anew.  This isn't really a problem, but they should have communicated this to us earlier.  For our troubles, they comped me the glass of wine I ordered, but they forgot to bring out with my entree  as I had requested.  Also, they didn't offer us bread, but I will echo the lady who whispered this to us on her way out: ask for the bread.  We received warm foccacia, apple walnut, and pomegranate slices of wonder with honey and butter.  YUM.

The entrees were both solid, but didn't quite live up to the innovation and freshness of the vegetables.  My lamb's sauce was delicious, but the meat was tough.  Maybe the vegetarian entrees are the way to go?  But our dessert, the gingerbread pear cake, was yet another winner.

If the entrees were tad more inspired, or the service weren't so spotty, this place definitely would have warranted five stars.  If I return, I'd like to try the 75$ tasting menu.  Our bill came out to about 100$ for two people, including tip, no drinks.",4,3,1,5.5,"Positive","5"
"8","JL7GXJ9u4YMx7Rzs05NfiQ","4","Luckily, I didn't have to travel far to make my connecting flight. And for this, I thank you, Phoenix.

My brief layover was pleasant as the employees were kind and the flight was on time.  Hopefully, next time I can grace Phoenix with my presence for a little while longer.",0,1,0,1.5,"Positive","5"
"12","3rPt0LxF7rgmEUrznoH22w","5","Wonderful Vietnamese sandwich shoppe. Their baguettes are great hot out of the oven with butter or in one of their many sandwich choices. They have a modest selection of baked goods along with some of the best egg rolls around. Bring cash or your ATM card as no credit cards are accepted but they have an ATM on premises.",1,1,0,2.5,"Positive","4"
"15","pfUwBKYYmUXeiwrhDluQcw","4","I'm 2 weeks new to Phoenix. I looked up Irish bars in town and found Rosie's. The decor and ambience was outstanding. I went there by myself on a Wednesday night in hopes of finding some friendly folks and that is exactly what happened. I ate dinner at the bar. Marcy was the bartender and she was very friendly and helpful and she introduced me to a whole bunch of people. For dinner I had a Rueben sandwich, which was pretty large and very good. I had a a small Rosie salad as my side and it did the job. I wish it was made with lettuce other than iceburg, but the bacon & eggs & other toppings helped a whole lot. I drank a nice, cold Smithwick's from the tap. Followed that up with 2 vodka tonics and my whole tab was under $25! 

The basketball game was on when I first got there. After the game, the jukebox was playing a fabulous mix of the best oldies. Around 10pm a live band played. I didn't catch much of their performance but I did notice that I really like the singer's voice and that's rare for me since I don't typically care for female vocalists.


All the people I spoke to were super nice and very welcoming. I am sure I will see a bunch (or all) of them again and I look forward to that!",1,1,0,6,"Positive","4"
"17","HXP_0Ul-FCmA4f-k9CqvaQ","3","We went here on a Saturday afternoon and this place was incredibly empty.  They had brunch specials going on, including $2 bloody mary's and mimosas, but we were more in the mood for lunch.  Except for the bloody mary, I had to try one.  It came out in a high-ball-sized glass.  Boo!  But it was really tasty. Yay!  The hubby remembered a sign outside the restaurant a few weeks back that said they had Arrogant Bastard, and he got a 22 oz bottle for $4.75.  Hey, that's not fair!!

Next up: the wings.  We were a bit hesitant to order them when the waitress informed us that they are ""seasoned"" but not sauced, so they can't be ordered hot.  We did ask for them crispy though, and the waitress even asked the cooks to throw them back in for a few minutes when they came out not visibly crispy.  These non-traditional wings were actually pretty damn good.  The seasoning was a little spicy and salty with just a hint of sweet.  If I were in the mood for the tang and kick of Frank's Hot Sauce, these wouldn't cut it, but otherwise they were good enough to go back again for.

My entree was the Tilapia salad, and I was a bit disappointed.  The fish was a bit dry and uninspired. And the greens underneath were overdressed and wilted.  I ate the greens around the fish and picked out the almonds and Mandarin oranges, but I had to leave the mush hiding underneath the fish.

It wasn't bad enough to say I wouldn't go back, but I won't be anxiously awaiting my next trip.",3,4,2,1,"Positive","4"
"19","v0cTd3PNpYCkTyGKSpOfGA","3","I met a friend for lunch yesterday. 

Loved the water feature and patio walking in, if it had been warmer I would have definitely sat outside. 

Inside was a little dark and I guess it was all the bats around but it reminded me of ""Dusk Till Dawn"". 

We were seated, I hope was hoping for chips and salsa, I guess they don't serve them here? 
We weren't even offered the ones on the menu, which I probably would have declined anyway because chips and salsa should be complimentary. 

Anyhow I ordered the Fresh Snapper Tacos (see pics) 
There is a lot of fish there being smothered by all those peppers, but as for everything else what you see is what you get.

For $15 I would have liked more than a TBSP of each, rice and beans, and a DEFINITELY more than a teaspoon of cheese and sour cream and maybe a lime or lemon. 
There was more garnish on the plate than anything. Other than that it was good. 

My Friend ordered the Green Chile Stew and The Green Chile Mac and Cheese (see pics) She has been here before so knew what she liked. I tasted the macaroni and thought it was pretty good too.

I'll give 3 stars until I go back and try out some other things.",5,6,4,3,"Positive","4"
"20","a0lCu-j2Sk_kHQsZi_eNgw","4","They've gotten better and better for me in the time since this review was written. 

My last contact with them was a few days ago when I was having trouble redeeming some Groupons on their website. I called customer service and after waiting a few minutes I spoke with a rep who cheerfully booked four separate flights for me, patiently and manually entering my Groupon info for each one.

I think the acquisition by Republic has helped them overall. After Republic took over the in-flight cookies started. It still tends to suck if you aren't Ascent club (like just about any budget-centric airline does), but once you get there it's a good value. When I've had to fly Southwest or USAir I've been disappointed in comparison.",1,1,1,2,"Positive","4"
"21","MuqugTuR5DdIPcZ2IVP3aQ","3","DVAP....

You have to go at least once in your life. It really is a neat place with alot of history. 

The service is great, it appears to be family run. 

The food is good. Better then Dennys but not as good as Mimi's. 

I had the all u can eat of beef ribs, lasagna, meat loaf, cat fish, chicken, mashed and diced potatoes, stuffing, rice, homemade apple pie, etc and salad bar. I know I am missing a bunch of stuff they had but you get the drift. 

They run specials on Prime rib and stuff so you might want to call to see what they are serving the night you go.",2,4,1,2,"Positive","4"
"22","LmuKVFh03Uz318VKnUWrxA","5","This place shouldn't even be reviewed - because it is the kind of place I want to keep for myself...  =)",1,1,2,0,"Neutral","5"
"26","ChBeixVZerfFkeO0McdlbA","4","This place is great.  A nice little ole' fashion homemade ice cream place that looks like it has been there for forever.  The place has a real nice vibe to it.  Sorta reminds me of Sugar Bowl only smaller, not as busy, and easier parking.

The menu is ginormous.  I couldn't decide what to get but that didn't matter because the other 3 people I went with chose for me.  I wanted something basic but they insisted on sharing the 'patte' thing.  It is a few scoops of ice cream over a brownie and topped with whip cream and caramel.  While it was very good it just wasn't what I wanted.  Next time I'm just going to get a scoop or 2 of the ice cream so I can really taste what the ice cream is all about.  It is just too difficult to tell when it is topped with a bunch of stuff.  The ice cream we got on the brownie though (butter brittle I think) was excellent.  They have tons of different flavors and they all sound delish!

Anyway I can't wait to go back if I am ever in the area again and need a sugar rush!",0,0,0,2.5,"Positive","4"
